127.0.0.1, 2018-10-22 15:28:12, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.002109
127.0.0.1, 2018-10-22 15:28:12, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001201
127.0.0.1, 2018-10-22 15:28:12, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001029
127.0.0.1, 2018-10-22 15:28:12, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.001043
127.0.0.1, 2018-10-22 15:28:12, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000315
127.0.0.1, 2018-10-22 15:28:14, GET, /start/default/add_reply/1, HTTP/1.1, 303, 0.013877
127.0.0.1, 2018-10-22 15:28:14, GET, /start/default/index, HTTP/1.1, 200, 0.016931
127.0.0.1, 2018-10-22 15:28:19, GET, /start/default/add, HTTP/1.1, 200, 0.019242
127.0.0.1, 2018-10-22 15:28:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000173
127.0.0.1, 2018-10-22 15:28:26, GET, /start/default/add, HTTP/1.1, 200, 0.019318
127.0.0.1, 2018-10-22 15:28:26, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.001004
127.0.0.1, 2018-10-22 15:28:26, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001568
127.0.0.1, 2018-10-22 15:28:26, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000899
127.0.0.1, 2018-10-22 15:28:26, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000794
127.0.0.1, 2018-10-22 15:28:26, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001211
127.0.0.1, 2018-10-22 15:28:26, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.002020
127.0.0.1, 2018-10-22 15:28:26, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001433
127.0.0.1, 2018-10-22 15:28:26, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001048
127.0.0.1, 2018-10-22 15:28:26, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.002061
127.0.0.1, 2018-10-22 15:28:26, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.003408
127.0.0.1, 2018-10-22 15:28:26, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000434
127.0.0.1, 2018-10-22 15:28:26, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000363
127.0.0.1, 2018-10-22 15:28:30, POST, /start/default/add, HTTP/1.1, 303, 0.016266
127.0.0.1, 2018-10-22 15:28:30, GET, /start/default/index, HTTP/1.1, 200, 0.021937
127.0.0.1, 2018-10-22 15:31:49, GET, /start/default/index, HTTP/1.1, 200, 0.016071
127.0.0.1, 2018-10-22 15:31:49, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000316
127.0.0.1, 2018-10-22 15:31:49, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000692
127.0.0.1, 2018-10-22 15:31:49, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000573
